date,return,cumret
1990-02-01,0.007753120356825378,1.0077531203568253
1990-03-01,0.0006964272727073435,1.0084549471139976
1990-05-01,0.004591208729078273,1.0130849742700696
1990-06-01,0.02051032215486867,1.0338636734626054
1990-08-01,0.01157824486926613,1.0458340002353945
1990-10-01,0.01572528690201379,1.0622800399409769
1990-11-01,0.01326205387108311,1.0763680550568504
1991-02-01,0.01487031063735239,1.0923739823956686
1991-03-01,-0.0014457904045342286,1.0907946385737581
1991-05-01,0.0069576021290912275,1.0983839536735
1991-07-01,0.004618812589698213,1.1034571833070497
1991-08-01,0.005580015753815079,1.1096144917735633
1991-10-01,0.00702327541155455,1.117407619949941
1991-11-01,0.005511040846616294,1.1235656989858054
1992-04-01,0.009729107396740105,1.1344969903385316
1992-05-01,0.010722633431251165,1.1466617856947894
1992-06-01,0.0002853183461146422,1.1469889493390366
1992-07-01,0.007783871746996807,1.1559169642159144
1992-09-01,0.008928544143503416,1.1662376198571407
1992-10-01,0.01331578567168783,1.1817669900454177
1992-12-01,0.005548636475430891,1.188324185471844
1993-02-01,0.00537382660574371,1.1947100335959813
1993-03-01,0.00967871334437294,1.206273289540803
1993-04-01,0.002274246228701788,1.209016652020325
1993-07-01,0.0043928824231690795,1.2143277200203038
1993-09-01,0.003927435206037771,1.219096913459579
1993-10-01,0.008596246691214084,1.2295765712681754
1993-11-01,-0.0023062720266554186,1.2267408332172287
1993-12-01,0.00523152361670413,1.23315855685778
1994-02-01,-0.0004496714562528594,1.232604040653727
1994-03-01,-0.001953501340407038,1.2301961470081189
1994-06-01,0.008936401216094354,1.241189673352277
1994-07-01,0.006414815420403586,1.2491516760085428
1994-08-01,0.004173945185938976,1.2543655666331264
1994-09-01,0.0057781614389469955,1.2616134933805887
1994-11-01,-0.0012881986551379029,1.259988284575112
1994-12-01,0.005183254230813076,1.2665191241819107
1995-02-01,0.0026404208631831544,1.269863267701021
1995-03-01,0.005896559043838938,1.2773510914366224
1995-05-01,0.004603018932935742,1.2832307626945114
1995-06-01,0.012028239332448593,1.2986657694269617
1995-08-01,0.0005759785515614417,1.2994137730557989
1995-09-01,0.009262449441551902,1.3114495274323843
1995-11-01,0.009442344477040137,1.3238326856346525
1995-12-01,0.008163435887781288,1.3346397088899804
1996-02-01,0.0017620941251475556,1.336991469680204
1996-03-01,0.013265761335721705,1.3547276794248775
1996-04-01,0.006446146987080097,1.363460453173916
1996-05-01,0.004433310818831233,1.3695050971520206
1996-07-01,0.004462874639445516,1.3756170267186918
1996-08-01,0.016260145065739376,1.3979847591280388
1996-10-01,0.010292947935744439,1.412374143468708
1996-11-01,0.004317886190591817,1.4184726142787407
1997-04-01,0.00697950423963531,1.4283728499039057
1997-05-01,0.006907899770029567,1.4382399063852733
1997-07-01,0.010154680197683277,1.4528447726821618
1997-08-01,-0.005965721117732126,1.4441775059409852
1997-10-01,0.00986979770837502,1.4584312457796083
1997-12-01,0.004764645436846539,1.4653801535597666
1998-04-01,0.008457667249391542,1.4777738512924372
1998-05-01,0.005532972722340321,1.4859503337014262
1998-06-01,0.007167745333670694,1.496601247271881
1998-07-01,0.004885134714151893,1.5039123459781718
1998-09-01,0.003858268675409844,1.5097148438732215
1998-10-01,0.01124383622792856,1.5266898303286047
1998-12-01,0.007467763241790264,1.5380907885251478
1999-02-01,-0.003578678237690713,1.5325864564926603
1999-03-01,-0.0038782167286990654,1.526642754058913
1999-04-01,0.0023026375476313033,1.5301580589862283
1999-07-01,0.0012174268196515226,1.532020914445544
1999-09-01,0.004339075528764741,1.53866846890497
1999-10-01,-0.0033652076006891133,1.5334905300784705
1999-11-01,0.0025077368516398376,1.5373361207923888
1999-12-01,0.003679266336939695,1.5429923898301816
2000-02-01,0.009467170793706322,1.557600162318093
2000-03-01,0.006197918771749224,1.5672540416030039
2000-05-01,0.0030060910304189033,1.5719653499198543
2000-06-01,0.010783048051408131,1.5889159278231888
2000-08-01,0.008649656639911532,1.6026595050285457
2000-09-01,0.0073022060855883215,1.614362455019291
2000-11-01,0.0065569127727060335,1.6249476888203842
2000-12-01,0.0030616679010794278,1.629922739000179
2001-02-01,0.009811752124278456,1.6459151368969736
2001-03-01,0.007883107630155787,1.6588900630712349
2001-05-01,0.007244726072545269,1.6709082671626532
2001-06-01,0.007414708158440186,1.683297564323189
2001-08-01,0.0016246381499172274,1.6860323137638513
2001-10-01,0.006554975073893453,1.697084213554352
2001-11-01,0.005897245583633231,1.7070923359377892
2002-02-01,0.006828605684630704,1.7187493963671636
2002-03-01,-0.003229039235900696,1.7131994871296135
2002-05-01,0.0054255521068756985,1.722494540216508
2002-07-01,0.005140522137654973,1.731349061532481
2002-08-01,0.005297665026639353,1.7405211689046665
2002-10-01,-0.006251330242650806,1.7296405962835188
2002-11-01,-0.0015835756170079643,1.7269015796090572
2003-04-01,0.002886803878573668,1.7318868057869876
2003-05-01,0.0029235285828804404,1.7369500263660191
2003-07-01,0.000577461441433108,1.7379530480319418
2003-08-01,0.007749814018234439,1.751421860926613
2003-10-01,0.0032877075517954335,1.757180023805161
2003-12-01,-0.0015102569586087813,1.7545262304466809
2004-03-01,0.00316732792858951,1.7600833903778175
2004-04-01,-2.8987820617286385e-05,1.7600323693962256
2004-07-01,0.005675004405806633,1.7700205608469117
2004-09-01,0.002790054691057894,1.7749590150159718
2004-10-01,-0.0012403856424308775,1.7727573813378426
2004-11-01,-0.001195363781143049,1.7706382913714374
2004-12-01,0.0025325816985997045,1.7751225775030046
2005-02-01,0.0026907661797811832,1.779899017299516
