,Regime_0,Regime_1,Regime_2,Moderate Growth,Recession,Expansion
2003-03-01,0.1586066124640029,0.841337937504983,5.5450031010820166e-05,0.1586066124640029,0.841337937504983,5.5450031010820166e-05
2003-04-01,0.4710002745200623,0.5289532505457745,4.647493415963495e-05,0.4710002745200623,0.5289532505457745,4.647493415963495e-05
2003-05-01,0.5598841895720963,0.44002468369818876,9.112672971146463e-05,0.5598841895720963,0.44002468369818876,9.112672971146463e-05
2003-06-01,0.4785169957025874,0.5210209572943993,0.00046204700300971643,0.4785169957025874,0.5210209572943993,0.00046204700300971643
2003-07-01,1.435991191089416e-10,0.9929791480268271,0.007020851829570201,1.435991191089416e-10,0.9929791480268271,0.007020851829570201
2003-08-01,6.390726591900963e-12,0.994971054675118,0.005028945318487531,6.390726591900963e-12,0.994971054675118,0.005028945318487531
2003-09-01,4.238903311130647e-12,0.997084156378856,0.002915843616901737,4.238903311130647e-12,0.997084156378856,0.002915843616901737
2003-10-01,0.0009375350464568688,0.9983978925813232,0.0006645723722166022,0.0009375350464568688,0.9983978925813232,0.0006645723722166022
2003-11-01,0.001125612989187872,0.9986265925682342,0.00024779444257432936,0.001125612989187872,0.9986265925682342,0.00024779444257432936
2003-12-01,0.009470364067236472,0.99039624326303,0.00013339266972989836,0.009470364067236472,0.99039624326303,0.00013339266972989836
2004-01-01,0.21594053183147463,0.7840051141642711,5.4354004250714386e-05,0.21594053183147463,0.7840051141642711,5.4354004250714386e-05
2004-02-01,0.44927456740920446,0.550689574740509,3.5857850282891106e-05,0.44927456740920446,0.550689574740509,3.5857850282891106e-05
2004-03-01,0.6508310131583512,0.34915645911167625,1.2527729968781709e-05,0.6508310131583512,0.34915645911167625,1.2527729968781709e-05
2004-04-01,0.8993395321907074,0.10065492206636009,5.545742928751789e-06,0.8993395321907074,0.10065492206636009,5.545742928751789e-06
2004-05-01,0.9514369996627603,0.04855361198962412,9.388347611879596e-06,0.9514369996627603,0.04855361198962412,9.388347611879596e-06
